Model,TBS1072C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,390.625
Sample Interval,12.5
Filter Frequency,2e+08
Record Length,1250
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Label,
FFT-FREQ,FFT-AMPL
1.228e+04,-97.5
1.229e+04,-100.509
1.230e+04,-103.519
1.231e+04,-100.025
1.232e+04,-96.5312
1.234e+04,-100.025
1.235e+04,-103.519
1.236e+04,-100.025
1.238e+04,-96.5312
1.239e+04,-97.0156
1.240e+04,-97.5
1.241e+04,-99.0062
1.242e+04,-100.509
1.244e+04,-102.016
1.245e+04,-103.519
1.246e+04,-100.509
1.248e+04,-97.5
1.249e+04,-100.509
1.250e+04,-103.519
1.251e+04,-103.519
1.252e+04,-103.519
1.254e+04,-103.519
1.255e+04,-103.519
1.256e+04,-103.519
1.258e+04,-103.519
1.259e+04,-102.016
1.260e+04,-100.509
1.261e+04,-97.2438
1.262e+04,-93.9781
1.264e+04,-97.2438
1.265e+04,-100.509
1.266e+04,-102.016
1.268e+04,-103.519
1.269e+04,-103.519
1.270e+04,-103.519
1.271e+04,-100.509
1.272e+04,-97.5
1.274e+04,-100.509
1.275e+04,-103.519
1.276e+04,-100.509
1.278e+04,-97.5
1.279e+04,-100.509
1.280e+04,-103.519
1.281e+04,-100.509
1.282e+04,-97.5
1.284e+04,-100.509
1.285e+04,-103.519
1.286e+04,-100.509
1.288e+04,-97.5
1.289e+04,-97.0156
1.290e+04,-96.5312
1.291e+04,-95.2562
1.292e+04,-93.9781
1.294e+04,-98.75
1.295e+04,-103.519
1.296e+04,-100.025
1.298e+04,-96.5312
1.299e+04,-95.025
1.300e+04,-93.5188
1.301e+04,-98.5188
1.302e+04,-103.519
1.304e+04,-103.519
1.305e+04,-103.519
1.306e+04,-103.519
1.308e+04,-103.519
1.309e+04,-100.025
1.310e+04,-96.5312
1.311e+04,-100.025
1.312e+04,-103.519
1.314e+04,-100.025
1.315e+04,-96.5312
1.316e+04,-98.5219
1.318e+04,-100.509
1.319e+04,-102.016
1.320e+04,-103.519
